System,Context Precision,Context Recall,Accuracy
GPT-3.5,,,0.0
GPT-4,,,0.2
Naive,0.622,0.767,0.1
Recursive,0.622,0.8,0.1
"Chunk 500, overlap 0%",0.722,0.706,0.4
"Chunk 500, overlap 5%",0.685,0.672,0.6
"Chunk 500, overlap 10%",0.722,0.664,0.4
"Chunk 500, overlap 15%",0.833,0.714,0.5
"Chunk 500, overlap 20%",0.611,0.575,0.5
"Chunk 1000, overlap 0%",0.683,0.85,0.2
"Chunk 1000, overlap 5%",0.683,0.875,0.0
"Chunk 1000, overlap 10%",0.725,0.775,0.2
"Chunk 1000, overlap 15%",0.65,0.867,0.1
"Chunk 1000, overlap 20%",0.8,0.867,0.2
"Chunk 2000, overlap 0%",0.642,0.7,0.2
"Chunk 2000, overlap 5%",0.642,0.7,0.2
"Chunk 2000, overlap 10%",0.625,0.7,0.2
"Chunk 2000, overlap 15%",0.642,0.7,0.2
"Chunk 2000, overlap 20%",0.633,0.7,0.2
"Chunk 3000, overlap 0%",0.533,0.7,0.0
"Chunk 3000, overlap 5%",0.533,0.7,0.1
"Chunk 3000, overlap 10%",0.525,0.7,0.0
"Chunk 3000, overlap 15%",0.525,0.7,0.0
"Chunk 3000, overlap 20%",0.533,0.7,0.0
"Chunk size 500, overlap 5%, K=2",0.685,0.7,0.3
"Chunk size 500, overlap 5%, K=3",0.722,0.767,0.6
"Chunk size 500, overlap 5%, K=5",0.722,0.696,0.3
MMR,0.611,0.75,0.3
BM25,0.852,0.875,0.4
Ensambler 1,0.889,0.768,0.2
Ensambler 2,0.889,0.789,0.3
Ensambler 3,0.75,0.862,0.4
Search query,0.722,0.681,0.6
Parent Retriever 1000-200,0.825,0.875,0.5
Parent Retriever 500-100,0.889,0.8,0.7
Parent Retriever 1500-200,0.825,0.9,0.5
"Chunk 500, overlap 5%, GPT-4",0.722,0.808,0.4
"Chunk size 500, overlap 5%, K=3, GPT-4",0.722,0.683,0.3
